timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728915161889,296,Homepage Test,200,OK,Thread Group 1-14,text,true,,7313,189,19,19,https://automationexercise.com/login,295,0,0
1728915161930,256,Homepage Test,200,OK,Thread Group 1-13,text,true,,7313,189,18,18,https://automationexercise.com/login,255,0,0
1728915161817,434,Homepage Test,200,OK,Thread Group 1-28,text,true,,7321,189,17,17,https://automationexercise.com/login,431,0,193
1728915161426,827,Homepage Test,200,OK,Thread Group 1-26,text,true,,7311,189,17,17,https://automationexercise.com/login,827,0,206
1728915162000,254,Homepage Test,200,OK,Thread Group 1-21,text,true,,7323,189,17,17,https://automationexercise.com/login,253,0,0
1728915161999,256,Homepage Test,200,OK,Thread Group 1-18,text,true,,7311,189,17,17,https://automationexercise.com/login,255,0,0
1728915162058,297,Homepage Test,200,OK,Thread Group 1-22,text,true,,7311,189,18,18,https://automationexercise.com/login,296,0,0
1728915162057,299,Homepage Test,200,OK,Thread Group 1-19,text,true,,7313,189,18,18,https://automationexercise.com/login,297,0,0
1728915162131,293,Homepage Test,200,OK,Thread Group 1-15,text,true,,7321,189,18,18,https://automationexercise.com/login,293,0,0
1728915162131,294,Homepage Test,200,OK,Thread Group 1-16,text,true,,7317,189,17,17,https://automationexercise.com/login,293,0,0
1728915162250,235,Homepage Test,200,OK,Thread Group 1-24,text,true,,7315,189,16,16,https://automationexercise.com/login,234,0,0
1728915162017,590,Homepage Test,200,OK,Thread Group 1-29,text,true,,7315,189,17,17,https://automationexercise.com/login,589,0,282
1728915162307,300,Homepage Test,200,OK,Thread Group 1-20,text,true,,7313,189,17,17,https://automationexercise.com/login,300,0,0
1728915162374,295,Homepage Test,200,OK,Thread Group 1-17,text,true,,7315,189,17,17,https://automationexercise.com/login,295,0,0
1728915162376,305,Homepage Test,200,OK,Thread Group 1-27,text,true,,7321,189,16,16,https://automationexercise.com/login,294,0,0
1728915162424,257,Homepage Test,200,OK,Thread Group 1-25,text,true,,7327,189,16,16,https://automationexercise.com/login,257,0,0
1728915162217,498,Homepage Test,200,OK,Thread Group 1-30,text,true,,7319,189,16,16,https://automationexercise.com/login,464,0,210
1728915162484,247,Homepage Test,200,OK,Thread Group 1-23,text,true,,7325,189,17,17,https://automationexercise.com/login,245,0,0
1728915162553,296,Homepage Test,200,OK,Thread Group 1-28,text,true,,7313,189,17,17,https://automationexercise.com/login,296,0,0
1728915162555,295,Homepage Test,200,OK,Thread Group 1-26,text,true,,7319,189,17,17,https://automationexercise.com/login,294,0,0
1728915162555,298,Homepage Test,200,OK,Thread Group 1-21,text,true,,7323,189,17,17,https://automationexercise.com/login,295,0,0
1728915162555,299,Homepage Test,200,OK,Thread Group 1-18,text,true,,7313,189,17,17,https://automationexercise.com/login,299,0,0
1728915162425,474,Homepage Test,200,OK,Thread Group 1-31,text,true,,7309,189,16,16,https://automationexercise.com/login,429,0,184
1728915162656,357,Homepage Test,200,OK,Thread Group 1-22,text,true,,7315,189,17,17,https://automationexercise.com/login,357,0,0
1728915162658,356,Homepage Test,200,OK,Thread Group 1-19,text,true,,7317,189,17,17,https://automationexercise.com/login,355,0,0
